Date,Signal,Exec_Price_NextOpen,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2023-12-18,1,44.81633452479264,44.53594207763672,1,267390.767177683,263251.2317712235,180505.7238201286,1,Ensemble (RF + HGB),18
2023-12-19,1,45.04999845679925,44.6761360168457,0,268232.4820535782,264079.91587358934,180448.82051408378,0,Ensemble (RF + HGB),18
2023-12-20,1,41.451600867807414,41.63853454589844,1,249994.92942067902,246124.7028130244,165839.99139181993,1,Ensemble (RF + HGB),18
2023-12-21,1,42.90031204793251,42.66664505004883,0,256167.63496194678,252201.8473391852,165785.79391340815,0,Ensemble (RF + HGB),18
2023-12-22,1,42.80684475062604,42.61991500854492,0,255887.0709710427,251925.6268212678,165229.86316350862,0,Ensemble (RF + HGB),18
2023-12-26,1,42.526451110839844,42.292789459228516,1,253923.03142198245,249991.99300139124,165229.86316350862,1,Ensemble (RF + HGB),18
2023-12-27,1,42.8068414997649,42.526451110839844,0,255325.92008605163,251373.1632368193,165175.77825375495,0,Ensemble (RF + HGB),18
2023-12-28,1,42.52645067904989,42.38624954223633,0,254484.1594037906,250544.43403722602,163900.49862842803,0,Ensemble (RF + HGB),18
2023-12-29,1,42.29278475314439,42.19932556152344,1,253361.88053699138,249439.52941694274,163900.49862842803,1,Ensemble (RF + HGB),18
2024-01-01,1,42.526448902991284,42.66664505004883,0,256167.63496194678,252201.8473391852,163846.65898643108,0,Ensemble (RF + HGB),18
2024-01-02,0,42.99377575273535,42.47971725463867,1,257841.06820220113,251096.9201702882,165452.22217600804,0,Ensemble (RF + HGB),18
2024-01-03,1,44.442473911708525,44.20881652832031,0,257769.89652511783,261317.59795134692,165452.22217600804,0,Ensemble (RF + HGB),18
2024-01-04,1,44.208812413726776,44.11534881591797,0,255872.5448551766,260765.11181828473,165452.22217600804,0,Ensemble (RF + HGB),18
2024-01-05,1,43.834960025278924,43.64802551269531,0,253162.03239012352,258002.77134742858,165398.09624101658,0,Ensemble (RF + HGB),18
2024-01-08,1,43.18070014070842,42.947044372558594,0,249096.28581809264,253859.28318975808,162737.29196208238,0,Ensemble (RF + HGB),18
2024-01-09,1,42.900311617950585,42.900306701660156,0,248825.2035958192,253583.01757461324,162683.6669317154,0,Ensemble (RF + HGB),18
2024-01-10,1,42.52645237228091,42.292789459228516,1,245301.5550916892,249991.99300139124,161075.51350903558,1,Ensemble (RF + HGB),18
2024-01-11,1,43.18070161435083,42.947044372558594,1,249096.28581809264,253859.28318975808,161075.51350903558,1,Ensemble (RF + HGB),18
2024-01-12,1,45.750981094031225,45.14345932006836,1,261835.66785318352,266842.2563444455,161075.51350903558,1,Ensemble (RF + HGB),18
2024-01-15,1,47.43334625244141,47.10622024536133,0,273219.8379068452,278444.1043609323,161022.19507679317,0,Ensemble (RF + HGB),18
